,Month,Players
0,2021-01-01,185083
1,2020-12-01,258721
2,2020-11-01,157463
3,2020-10-01,129316
4,2020-09-01,126518
5,2020-08-01,154677
6,2020-07-01,135395
7,2020-06-01,180466
8,2020-05-01,261658
9,2020-04-01,243940
10,2020-03-01,209493
11,2020-02-01,269460
12,2020-01-01,214898
13,2019-12-01,204956
14,2019-11-01,138708
15,2019-10-01,117320
16,2019-09-01,135788
17,2019-08-01,176449
18,2019-07-01,198011
19,2019-06-01,109417
20,2019-05-01,108887
21,2019-04-01,91679
22,2019-03-01,126518
23,2019-02-01,120401
24,2019-01-01,118732
25,2018-12-01,120817
26,2018-11-01,81567
27,2018-10-01,81844
28,2018-09-01,97920
29,2018-08-01,123560
30,2018-07-01,162602
31,2018-06-01,119712
32,2018-05-01,83671
33,2018-04-01,89956
34,2018-03-01,95390
35,2018-02-01,94308
36,2018-01-01,168575
37,2017-12-01,170644
38,2017-11-01,85467
39,2017-10-01,84442
40,2017-09-01,101770
41,2017-08-01,121837
42,2017-07-01,112074
43,2017-06-01,132106
44,2017-05-01,84002
45,2017-04-01,95667
46,2017-03-01,97354
47,2017-02-01,102076
48,2017-01-01,116228
49,2016-12-01,126819
50,2016-11-01,86608
51,2016-10-01,86008
52,2016-09-01,61787
53,2016-08-01,63746
54,2016-07-01,71859
55,2016-06-01,78286
56,2016-05-01,48155
57,2016-04-01,65831
58,2016-03-01,65042
59,2016-02-01,73019
60,2016-01-01,93713
61,2015-12-01,84853
62,2015-11-01,76970
63,2015-10-01,73795
64,2015-09-01,47429
65,2015-08-01,50764
66,2015-07-01,61067
67,2015-06-01,85285
