,date,users
0,2023-03-30,236762116
1,2023-02-28,229866132
2,2023-01-30,252600145
3,2022-12-30,251656507
4,2022-11-30,250144756
5,2022-10-30,251025598
6,2022-09-30,253565010
7,2022-08-30,257404123
8,2022-07-30,255014413
9,2022-06-30,264501166
10,2022-05-30,269155466
11,2022-04-30,268051143
12,2022-03-30,271011546
13,2022-02-20,269057706
14,2022-01-30,272710226
15,2021-12-30,275066417
16,2021-11-30,277050146
17,2021-10-30,279665014
18,2021-09-30,276602214
19,2021-08-30,279855016
20,2021-07-30,283665016
21,2021-06-30,281662014
22,2021-05-30,290144760
23,2021-04-30,285011465
24,2021-03-30,278014467
