,Date,Number
0,2023-03-01,52056
1,2023-02-01,66439
2,2023-01-01,70914
3,2022-12-01,63252
4,2022-11-01,66492
5,2022-10-01,36196
6,2022-09-01,34026
7,2022-08-01,33507
8,2022-07-01,34885
9,2022-06-01,30173
10,2022-05-01,31329
11,2022-04-01,37319
12,2022-03-01,34408
13,2022-02-01,39126
14,2022-01-01,41319
15,2021-12-01,39600
16,2021-11-01,40197
17,2021-10-01,23399
18,2021-09-01,28633
19,2021-08-01,27032
20,2021-07-01,28343
21,2021-06-01,20947
22,2021-05-01,24005
23,2021-04-01,24250
24,2021-03-01,26287
25,2021-02-01,27588
26,2021-01-01,32364
27,2020-12-01,31958
28,2020-11-01,28632
29,2020-10-01,31982
30,2020-09-01,24527
31,2020-08-01,26272
32,2020-07-01,23418
33,2020-06-01,20334
34,2020-05-01,26618
35,2020-04-01,28754
36,2020-03-01,30170
37,2020-02-01,50091
38,2020-01-01,51252
39,2019-12-01,55271
